date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:23:23	5627/5627	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:23%20GMT	http://schema.org/OrderDelivered	/home/dmk/websites/TemplateFoot02/schema.org/OrderDelivered.html	(from http://schema.org/OrderStatus)
02:23:24	5614/5614	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:24%20GMT	http://schema.org/OrderInTransit	/home/dmk/websites/TemplateFoot02/schema.org/OrderInTransit.html	(from http://schema.org/OrderStatus)
02:23:24	5637/5637	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:24%20GMT	http://schema.org/OrderPaymentDue	/home/dmk/websites/TemplateFoot02/schema.org/OrderPaymentDue.html	(from http://schema.org/OrderStatus)
02:23:25	5690/5690	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:24%20GMT	http://schema.org/OrderPickupAvailable	/home/dmk/websites/TemplateFoot02/schema.org/OrderPickupAvailable.html	(from http://schema.org/OrderStatus)
02:23:25	5616/5616	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:25%20GMT	http://schema.org/OrderProblem	/home/dmk/websites/TemplateFoot02/schema.org/OrderProblem.html	(from http://schema.org/OrderStatus)
02:23:25	5634/5634	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:25%20GMT	http://schema.org/OrderProcessing	/home/dmk/websites/TemplateFoot02/schema.org/OrderProcessing.html	(from http://schema.org/OrderStatus)
02:23:26	5612/5612	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:26%20GMT	http://schema.org/OrderReturned	/home/dmk/websites/TemplateFoot02/schema.org/OrderReturned.html	(from http://schema.org/OrderStatus)
02:23:26	6458/6458	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:26%20GMT	http://schema.org/appliesToPaymentMethod	/home/dmk/websites/TemplateFoot02/schema.org/appliesToPaymentMethod.html	(from http://schema.org/PaymentMethod)
02:23:27	5770/5770	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:27%20GMT	http://schema.org/PaymentAutomaticallyApplied	/home/dmk/websites/TemplateFoot02/schema.org/PaymentAutomaticallyApplied.html	(from http://schema.org/PaymentStatusType)
02:23:27	5624/5624	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:27%20GMT	http://schema.org/PaymentComplete	/home/dmk/websites/TemplateFoot02/schema.org/PaymentComplete.html	(from http://schema.org/PaymentStatusType)
02:23:27	5672/5672	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:27%20GMT	http://schema.org/PaymentDeclined	/home/dmk/websites/TemplateFoot02/schema.org/PaymentDeclined.html	(from http://schema.org/PaymentStatusType)
02:23:28	5628/5628	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:28%20GMT	http://schema.org/PaymentDue	/home/dmk/websites/TemplateFoot02/schema.org/PaymentDue-2.html	(from http://schema.org/PaymentStatusType)
02:23:28	5604/5604	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:28%20GMT	http://schema.org/PaymentPastDue	/home/dmk/websites/TemplateFoot02/schema.org/PaymentPastDue.html	(from http://schema.org/PaymentStatusType)
02:23:29	6683/6683	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:28%20GMT	http://schema.org/AerobicActivity	/home/dmk/websites/TemplateFoot02/schema.org/AerobicActivity.html	(from http://schema.org/PhysicalActivityCategory)
02:23:29	6477/6477	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:29%20GMT	http://schema.org/AnaerobicActivity	/home/dmk/websites/TemplateFoot02/schema.org/AnaerobicActivity.html	(from http://schema.org/PhysicalActivityCategory)
02:23:29	6287/6287	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:29%20GMT	http://schema.org/Balance	/home/dmk/websites/TemplateFoot02/schema.org/Balance.html	(from http://schema.org/PhysicalActivityCategory)
02:23:30	6355/6355	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:30%20GMT	http://schema.org/Flexibility	/home/dmk/websites/TemplateFoot02/schema.org/Flexibility.html	(from http://schema.org/PhysicalActivityCategory)
02:23:30	6594/6594	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:30%20GMT	http://schema.org/LeisureTimeActivity	/home/dmk/websites/TemplateFoot02/schema.org/LeisureTimeActivity.html	(from http://schema.org/PhysicalActivityCategory)
02:23:30	6693/6693	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:30%20GMT	http://schema.org/OccupationalActivity	/home/dmk/websites/TemplateFoot02/schema.org/OccupationalActivity.html	(from http://schema.org/PhysicalActivityCategory)
02:23:31	6499/6499	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:31%20GMT	http://schema.org/StrengthTraining	/home/dmk/websites/TemplateFoot02/schema.org/StrengthTraining.html	(from http://schema.org/PhysicalActivityCategory)
02:23:31	6268/6268	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:31%20GMT	http://schema.org/identifyingExam	/home/dmk/websites/TemplateFoot02/schema.org/identifyingExam.html	(from http://schema.org/PhysicalExam)
02:23:32	6077/6077	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:31%20GMT	http://schema.org/Abdomen	/home/dmk/websites/TemplateFoot02/schema.org/Abdomen.html	(from http://schema.org/PhysicalExam)
02:23:32	6125/6125	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:32%20GMT	http://schema.org/Appearance	/home/dmk/websites/TemplateFoot02/schema.org/Appearance.html	(from http://schema.org/PhysicalExam)
02:23:32	6250/6250	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:32%20GMT	http://schema.org/CardiovascularExam	/home/dmk/websites/TemplateFoot02/schema.org/CardiovascularExam.html	(from http://schema.org/PhysicalExam)
02:23:33	6018/6018	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:33%20GMT	http://schema.org/Ear	/home/dmk/websites/TemplateFoot02/schema.org/Ear.html	(from http://schema.org/PhysicalExam)
02:23:33	6018/6018	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:33%20GMT	http://schema.org/Eye	/home/dmk/websites/TemplateFoot02/schema.org/Eye.html	(from http://schema.org/PhysicalExam)
02:23:34	6173/6173	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:33%20GMT	http://schema.org/Genitourinary	/home/dmk/websites/TemplateFoot02/schema.org/Genitourinary.html	(from http://schema.org/PhysicalExam)
02:23:34	6029/6029	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:34%20GMT	http://schema.org/Head	/home/dmk/websites/TemplateFoot02/schema.org/Head.html	(from http://schema.org/PhysicalExam)
02:23:34	6029/6029	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:34%20GMT	http://schema.org/Lung	/home/dmk/websites/TemplateFoot02/schema.org/Lung.html	(from http://schema.org/PhysicalExam)
02:23:35	6266/6266	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:35%20GMT	http://schema.org/MusculoskeletalExam	/home/dmk/websites/TemplateFoot02/schema.org/MusculoskeletalExam.html	(from http://schema.org/PhysicalExam)
02:23:35	6034/6034	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:35%20GMT	http://schema.org/Neck	/home/dmk/websites/TemplateFoot02/schema.org/Neck.html	(from http://schema.org/PhysicalExam)
02:23:36	6045/6045	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:35%20GMT	http://schema.org/Neuro	/home/dmk/websites/TemplateFoot02/schema.org/Neuro.html	(from http://schema.org/PhysicalExam)
02:23:36	6029/6029	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:36%20GMT	http://schema.org/Nose	/home/dmk/websites/TemplateFoot02/schema.org/Nose.html	(from http://schema.org/PhysicalExam)
02:23:36	6029/6029	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:36%20GMT	http://schema.org/Skin	/home/dmk/websites/TemplateFoot02/schema.org/Skin.html	(from http://schema.org/PhysicalExam)
02:23:37	6061/6061	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:37%20GMT	http://schema.org/Throat	/home/dmk/websites/TemplateFoot02/schema.org/Throat.html	(from http://schema.org/PhysicalExam)
02:23:37	6109/6109	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:37%20GMT	http://schema.org/VitalSign	/home/dmk/websites/TemplateFoot02/schema.org/VitalSign.html	(from http://schema.org/PhysicalExam)
02:23:37	5742/5742	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:37%20GMT	http://schema.org/ReservationCancelled	/home/dmk/websites/TemplateFoot02/schema.org/ReservationCancelled.html	(from http://schema.org/ReservationStatusType)
02:23:38	5674/5674	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:38%20GMT	http://schema.org/ReservationConfirmed	/home/dmk/websites/TemplateFoot02/schema.org/ReservationConfirmed.html	(from http://schema.org/ReservationStatusType)
02:23:38	5740/5740	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20May%202016%2001:23:38%20GMT	http://schema.org/ReservationHold	/home/dmk/websites/TemplateFoot02/schema.org/ReservationHold.html	(from http://schema.org/ReservationStatusType)
